id,conditions,conclusion,priority,category
1,"{""有毛发"": true}",哺乳动物,10,mammal
2,"{""有奶"": true}",哺乳动物,10,mammal
3,"{""哺乳"": true, ""胎生"": true}",哺乳动物,9,mammal
4,"{""恒温"": true, ""有脊椎"": true, ""毛发覆盖"": true}",哺乳动物,8,mammal
5,"{""有羽毛"": true}",鸟类,10,bird
6,"{""会下蛋"": true, ""会飞"": true}",鸟类,9,bird
7,"{""有喙"": true, ""有翅膀"": true}",鸟类,9,bird
8,"{""有鳞片"": true}",爬行动物,10,reptile
9,"{""产卵"": true, ""冷血"": true}",爬行动物,9,reptile
10,"{""有鳃"": true}",鱼类,10,fish
11,"{""有鳍"": true, ""生活在水中"": true}",鱼类,9,fish
12,"{""测试"": true}",昆虫,105,general
13,"{""有翅膀"": true, ""有触角"": true}",昆虫,9,insect
14,"{""有湿润皮肤"": true}",两栖动物,5,general
15,"{""幼体水生"": true, ""成体陆生"": true}",两栖动物,9,amphibian
16,"{""哺乳动物"": true, ""有爪"": true, ""有犬齿"": true, ""眼向前方"": true}",食肉动物,8,mammal
17,"{""吃肉"": true, ""哺乳动物"": true}",食肉动物,7,mammal
18,"{""哺乳动物"": true, ""有蹄"": true}",有蹄类动物,8,mammal
19,"{""反刍"": true, ""哺乳动物"": true}",有蹄类动物,7,mammal
20,"{""哺乳动物"": true, ""门牙发达"": true}",啮齿类动物,8,mammal
21,"{""哺乳动物"": true, ""大脑发达"": true, ""有手"": true}",灵长类动物,8,mammal
22,"{""哺乳动物"": true, ""无四肢"": true, ""生活在海洋"": true}",鲸类,8,mammal
23,"{""会飞"": true, ""哺乳动物"": true, ""有翅膀"": true}",蝙蝠类,8,mammal
24,"{""有鬃毛"": true, ""猫科"": true, ""食肉动物"": true, ""黄褐色"": true}",狮子,6,mammal
25,"{""有条纹"": true, ""猫科"": true, ""食肉动物"": true, ""黄褐色"": true}",老虎,6,mammal
26,"{""有斑点"": true, ""猫科"": true, ""食肉动物"": true, ""黄褐色"": true}",豹子,6,mammal
27,"{""猫科"": true, ""速度快"": true, ""食肉动物"": true, ""黄褐色"": true}",猎豹,6,mammal
28,"{""有玫瑰斑"": true, ""猫科"": true, ""食肉动物"": true, ""黄褐色"": true}",美洲豹,6,mammal
29,"{""灰白色"": true, ""猫科"": true, ""生活在雪山"": true, ""食肉动物"": true}",雪豹,6,mammal
30,"{""灰色"": true, ""猫科"": true, ""耳朵有簇毛"": true, ""食肉动物"": true}",猞猁,6,mammal
31,"{""体型小"": true, ""灰色"": true, ""猫科"": true, ""食肉动物"": true}",山猫,6,mammal
32,"{""会抓老鼠"": true, ""猫科"": true, ""花色"": true, ""食肉动物"": true}",家猫,6,mammal
33,"{""灰色"": true, ""猫科"": true, ""生活在野外"": true, ""食肉动物"": true}",野猫,6,mammal
34,"{""尾巴蓬松"": true, ""犬科"": true, ""群居"": true, ""食肉动物"": true}",狼,6,mammal
35,"{""听觉灵敏"": true, ""嗅觉灵敏"": true, ""犬科"": true, ""食肉动物"": true}",狗,6,mammal
36,"{""会爬树"": true, ""体型小"": true, ""犬科"": true, ""食肉动物"": true}",狐狸,6,mammal
37,"{""叫声尖锐"": true, ""犬科"": true, ""群居"": true, ""食肉动物"": true}",豺,6,mammal
38,"{""下颌强壮"": true, ""犬科"": true, ""食肉动物"": true, ""食腐"": true}",鬣狗,6,mammal
39,"{""体型中等"": true, ""犬科"": true, ""适应性强"": true, ""食肉动物"": true}",郊狼,6,mammal
40,"{""犬科"": true, ""生活在澳洲"": true, ""食肉动物"": true, ""黄色"": true}",澳洲野犬,6,mammal
41,"{""犬科"": true, ""生活在森林"": true, ""红色"": true, ""食肉动物"": true}",薮犬,6,mammal
42,"{""有角"": true, ""有蹄类动物"": true, ""群居"": true}",牛,6,mammal
43,"{""善跑"": true, ""有蹄类动物"": true, ""鬃毛"": true}",马,6,mammal
44,"{""有角"": true, ""有蹄类动物"": true, ""羊毛厚"": true}",羊,6,mammal
45,"{""有蹄类动物"": true, ""杂食"": true, ""鼻子长"": true}",猪,6,mammal
46,"{""善跑"": true, ""有角"": true, ""有蹄类动物"": true}",鹿,6,mammal
47,"{""有斑点"": true, ""有蹄类动物"": true, ""长脖子"": true}",长颈鹿,6,mammal
48,"{""善跑"": true, ""有蹄类动物"": true, ""黑白条纹"": true}",斑马,6,mammal
49,"{""体型小"": true, ""有角"": true, ""有蹄类动物"": true}",羚羊,6,mammal
50,"{""有蹄类动物"": true, ""耐旱"": true, ""驼峰"": true}",骆驼,6,mammal
51,"{""体型庞大"": true, ""有角"": true, ""有蹄类动物"": true}",犀牛,6,mammal
52,"{""会游泳"": true, ""有蹄类动物"": true, ""黑色"": true}",河马,6,mammal
53,"{""体型庞大"": true, ""有蹄类动物"": true, ""长鼻子"": true}",大象,6,mammal
54,"{""会说话"": true, ""灵长类动物"": true, ""直立行走"": true}",人类,6,mammal
55,"{""会使用工具"": true, ""灵长类动物"": true, ""群居"": true}",黑猩猩,6,mammal
56,"{""体型大"": true, ""无尾"": true, ""灵长类动物"": true}",大猩猩,6,mammal
57,"{""喜欢香蕉"": true, ""有尾巴"": true, ""灵长类动物"": true}",猴子,6,mammal
58,"{""会摇摆"": true, ""手臂长"": true, ""灵长类动物"": true}",长臂猿,6,mammal
59,"{""灵长类动物"": true, ""红屁股"": true, ""群居"": true}",狒狒,6,mammal
60,"{""灵长类动物"": true, ""红脸"": true, ""群居"": true}",猕猴,6,mammal
61,"{""夜行"": true, ""大眼睛"": true, ""灵长类动物"": true}",狐猴,6,mammal
62,"{""偷粮食"": true, ""啮齿类动物"": true, ""尾巴长"": true}",老鼠,6,mammal
63,"{""储存食物"": true, ""啮齿类动物"": true, ""有颊囊"": true}",松鼠,6,mammal
64,"{""体型小"": true, ""可爱"": true, ""啮齿类动物"": true}",仓鼠,6,mammal
65,"{""啮齿类动物"": true, ""短耳朵"": true, ""群居"": true}",豚鼠,6,mammal
66,"{""会筑坝"": true, ""啮齿类动物"": true, ""尾巴扁平"": true}",河狸,6,mammal
67,"{""啮齿类动物"": true, ""夜行"": true, ""有刺"": true}",豪猪,6,mammal
68,"{""会打洞"": true, ""冬眠"": true, ""啮齿类动物"": true}",土拨鼠,6,mammal
69,"{""啮齿类动物"": true, ""短尾巴"": true, ""长耳朵"": true}",兔子,6,mammal
70,"{""体型巨大"": true, ""蓝色"": true, ""鲸类"": true}",蓝鲸,6,mammal
71,"{""肉食"": true, ""鲸类"": true, ""黑白相间"": true}",虎鲸,6,mammal
72,"{""体型小"": true, ""聪明"": true, ""鲸类"": true}",海豚,6,mammal
73,"{""大脑大"": true, ""有鲸蜡"": true, ""鲸类"": true}",抹香鲸,6,mammal
74,"{""会唱歌"": true, ""长胸鳍"": true, ""鲸类"": true}",座头鲸,6,mammal
75,"{""不会飞"": true, ""长腿"": true, ""鸟类"": true}",鸵鸟,6,bird
76,"{""不会飞"": true, ""会游泳"": true, ""鸟类"": true}",企鹅,6,bird
77,"{""有弯钩喙"": true, ""视力好"": true, ""鸟类"": true}",鹰,6,bird
78,"{""会说话"": true, ""羽毛鲜艳"": true, ""鸟类"": true}",鹦鹉,6,bird
79,"{""会唱歌"": true, ""体型小"": true, ""鸟类"": true}",麻雀,6,bird
80,"{""会送信"": true, ""体型中等"": true, ""鸟类"": true}",鸽子,6,bird
81,"{""会开屏"": true, ""有长尾羽"": true, ""鸟类"": true}",孔雀,6,bird
82,"{""会游泳"": true, ""脖子长"": true, ""鸟类"": true}",天鹅,6,bird
83,"{""会游泳"": true, ""嘴扁平"": true, ""鸟类"": true}",鸭子,6,bird
84,"{""夜行"": true, ""脸盘大"": true, ""鸟类"": true}",猫头鹰,6,bird
85,"{""会啄木"": true, ""嘴坚硬"": true, ""鸟类"": true}",啄木鸟,6,bird
86,"{""善飞"": true, ""翅膀长"": true, ""鸟类"": true}",信天翁,6,bird
87,"{""没有腿"": true, ""爬行动物"": true, ""身体细长"": true}",蛇,6,reptile
88,"{""体型大"": true, ""咬合力强"": true, ""爬行动物"": true}",鳄鱼,6,reptile
89,"{""有壳"": true, ""爬行动物"": true, ""行动缓慢"": true}",乌龟,6,reptile
90,"{""会爬"": true, ""四肢发达"": true, ""爬行动物"": true}",蜥蜴,6,reptile
91,"{""会爬墙"": true, ""体型小"": true, ""爬行动物"": true}",壁虎,6,reptile
92,"{""会变色"": true, ""爬行动物"": true, ""眼睛独立"": true}",变色龙,6,reptile
